Survived,Sex,Age,SibSp,Parch,Fare,Pclass,deck,Embarked,alone
0,male,35,0,0,8.05,2,unknown,Southampton,y
0,male,54,0,0,51.8625,1,E,Southampton,y
1,female,58,0,0,26.55,1,C,Southampton,y
1,female,55,0,0,16,2,unknown,Southampton,y
1,male,34,0,0,13,2,D,Southampton,y
1,female,15,0,0,8.0292,2,unknown,Queenstown,y
0,female,8,3,1,21.075,2,unknown,Southampton,n
0,male,21,0,0,8.05,2,unknown,Southampton,y
0,female,18,2,0,18,2,unknown,Southampton,n
1,female,19,0,0,7.8792,2,unknown,Queenstown,y
1,female,28,0,0,7.75,2,unknown,Queenstown,y
0,male,21,0,0,7.8,2,unknown,Southampton,y
1,female,5,1,2,27.75,2,unknown,Southampton,n
0,male,28,0,0,27.7208,1,unknown,Cherbourg,y
1,female,29,0,0,10.5,2,F,Southampton,y
0,female,16,5,2,46.9,2,unknown,Southampton,n
0,male,26,1,0,14.4542,2,unknown,Cherbourg,n
1,female,17,0,0,10.5,2,unknown,Southampton,y
1,female,33,3,0,15.85,2,unknown,Southampton,n
0,male,29,0,0,8.05,2,unknown,Southampton,y
0,male,20,0,0,7.8542,2,unknown,Southampton,y
0,male,26,1,2,20.575,2,unknown,Southampton,n
1,female,21,0,0,7.65,2,unknown,Southampton,y
0,male,38,0,0,7.8958,2,unknown,Southampton,y
0,female,20,1,0,9.825,2,unknown,Southampton,n
0,female,2,4,2,31.275,2,unknown,Southampton,n
0,male,21,2,0,73.5,2,unknown,Southampton,n
0,male,54,0,1,77.2875,1,D,Southampton,n
1,male,12,1,0,11.2417,2,unknown,Cherbourg,n
1,female,28,1,1,22.3583,2,F,Cherbourg,n
0,male,33,0,0,7.8958,2,unknown,Cherbourg,y
1,female,29,1,0,26,2,unknown,Southampton,n
0,male,25,0,0,13,2,unknown,Southampton,y
1,female,24,1,0,15.85,2,unknown,Southampton,n
0,male,19,1,1,36.75,2,unknown,Southampton,n
1,male,27,0,0,7.7958,2,unknown,Southampton,y
0,male,36.5,0,2,26,2,F,Southampton,n
0,male,42,0,0,13,2,unknown,Southampton,y
1,female,22,1,0,66.6,1,C,Southampton,n
0,male,30,0,0,8.05,2,unknown,Southampton,y
1,female,40,0,0,15.75,2,unknown,Southampton,y
1,male,9,0,2,20.525,2,unknown,Southampton,n
0,female,45,1,4,27.9,2,unknown,Southampton,n
0,male,28,0,0,25.925,1,unknown,Southampton,y
0,male,61,0,0,33.5,1,B,Southampton,y
1,female,1,1,1,11.1333,2,unknown,Southampton,n
0,male,21,0,0,7.925,2,unknown,Southampton,y
0,male,56,0,0,30.6958,1,A,Cherbourg,y
1,male,1,2,1,39,2,F,Southampton,n
0,male,28,0,0,50,1,A,Southampton,y
0,male,40,1,1,15.5,2,unknown,Queenstown,n
0,male,19,0,0,13,2,unknown,Southampton,y
0,male,42,0,1,8.4042,2,unknown,Southampton,n
0,male,45.5,0,0,7.225,2,unknown,Cherbourg,y
1,male,18,0,0,8.05,2,unknown,Southampton,y
0,male,24,0,0,7.05,2,unknown,Southampton,y
0,male,30,0,0,13,2,unknown,Southampton,y
1,female,32,0,0,76.2917,1,D,Cherbourg,y
0,male,27,0,0,13,2,unknown,Southampton,y
0,male,28,0,0,7.8958,2,unknown,Southampton,y
1,male,38,1,0,90,1,C,Southampton,n
1,female,5,4,2,31.3875,2,unknown,Southampton,n
0,male,24,0,0,10.5,2,unknown,Southampton,y
1,female,8,0,2,26.25,2,unknown,Southampton,n
0,male,29,0,0,10.5,2,unknown,Southampton,y
0,female,25,0,0,7.775,2,unknown,Southampton,y
1,male,37,1,1,52.5542,1,D,Southampton,n
0,male,54,1,0,26,2,unknown,Southampton,n
0,male,62,0,0,26.55,1,C,Southampton,y
1,female,29,0,2,15.2458,2,unknown,Cherbourg,n
1,female,30,0,0,86.5,1,B,Southampton,y
0,male,52,1,1,79.65,1,E,Southampton,n
0,male,65,0,0,7.75,2,unknown,Queenstown,y
1,male,19,0,0,8.05,2,unknown,Southampton,y
0,male,33,0,0,8.6625,2,unknown,Cherbourg,y
1,male,30,0,0,9.5,2,unknown,Southampton,y
0,male,22,0,0,7.8958,2,unknown,Southampton,y
1,male,42,0,0,13,2,unknown,Southampton,y
1,female,22,0,0,7.75,2,unknown,Queenstown,y
1,female,19,1,0,91.0792,1,B,Cherbourg,n
0,female,24,0,0,8.85,2,unknown,Southampton,y
0,male,28,0,0,27.7208,1,unknown,Cherbourg,y
0,male,23.5,0,0,7.2292,2,unknown,Cherbourg,y
0,female,2,1,2,151.55,1,C,Southampton,n
1,male,28,2,0,23.25,2,unknown,Queenstown,n
1,male,0.92,1,2,151.55,1,C,Southampton,n
1,female,26,0,0,7.8542,2,unknown,Southampton,y
0,male,54,0,0,14,2,unknown,Southampton,y
1,female,30,0,0,12.35,2,unknown,Queenstown,y
1,female,36,0,0,13,2,D,Southampton,y
1,female,16,0,1,57.9792,1,B,Cherbourg,n
0,male,45.5,0,0,28.5,1,C,Southampton,y
0,male,16,2,0,18,2,unknown,Southampton,n
1,female,41,0,0,134.5,1,E,Cherbourg,y
1,male,2,1,1,26,2,F,Southampton,n
1,female,24,3,2,263,1,C,Southampton,n
1,male,3,1,1,15.9,2,unknown,Southampton,n
